Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
638,Sonic Adventure,1998,Platform,Sega,1.26,0.61,0.46,0.08,2.42
961,Crazy Taxi,2000,Racing,Sega,1.1,0.51,0.12,0.08,1.81
1679,NFL 2K,1999,Sports,Sega,1.12,0.05,0.0,0.02,1.2
1711,Shenmue,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18
1795,Resident Evil - Code: Veronica,2000,Action,Eidos Interactive,0.41,0.23,0.47,0.03,1.14
1879,NFL 2K1,2000,Sports,Sega,1.02,0.05,0.0,0.02,1.09
3825,Seaman,1999,Simulation,Sega,0.0,0.0,0.52,0.0,0.52
4688,Sega Rally Championship 2,1999,Racing,Sega,0.0,0.0,0.41,0.0,0.41
5154,Virtua Fighter 3tb,1998,Fighting,Sega,0.0,0.0,0.37,0.0,0.37
5261,J-League Pro Soccer Club o Tsukurou!,1999,Sports,Sega,0.0,0.0,0.36,0.0,0.36
5359,SoulCalibur,1999,Fighting,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34
5537,Sakura Wars 3: Paris wa Moeteiru ka,2001,Adventure,Sega,0.0,0.0,0.33,0.0,0.33
5699,Virtua Striker 2,1999,Sports,Sega,0.0,0.0,0.32,0.0,0.32
6060,"Sakura Wars 4: Koi Seyo,Otome",2002,Adventure,Sega,0.0,0.0,0.29,0.0,0.29
6452,The House of the Dead 2,1998,Shooter,Sega,0.0,0.0,0.26,0.0,0.26
6986,Pro Yakyuu Team o Tsukurou!,1999,Sports,Sega,0.0,0.0,0.23,0.0,0.23
7252,Capcom vs. SNK,2000,Fighting,Virgin Interactive,0.0,0.0,0.22,0.0,0.22
7528,Phantasy Star Online,2000,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2
7656,Grandia II,2000,Role-Playing,Ubisoft,0.0,0.0,0.2,0.0,0.2
7996,Phantasy Star Online Ver. 2,2001,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19
8113,Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,2000,Sports,Sega,0.0,0.0,0.18,0.0,0.18
8320,Tokyo Xtreme Racer,1999,Racing,Genki,0.0,0.0,0.17,0.0,0.17
8918,Shenmue II,2001,Adventure,Sega,0.0,0.0,0.15,0.0,0.15
9069,Power Stone,1998,Fighting,Eidos Interactive,0.0,0.0,0.14,0.0,0.14
9095,Marvel vs. Capcom 2: New Age of Heroes,2000,Fighting,Virgin Interactive,0.0,0.0,0.14,0.0,0.14
9166,Dead or Alive 2,2000,Fighting,Acclaim Entertainment,0.0,0.0,0.14,0.0,0.14
9557,Sega GT,2000,Racing,Sega,0.0,0.0,0.13,0.0,0.13
9674,Capcom vs. SNK 2: Millionaire Fighting 2001,2001,Fighting,Capcom,0.0,0.0,0.12,0.0,0.12
9844,Sonic Adventure 2,2001,Platform,Sega,0.0,0.0,0.12,0.0,0.12
10371,Sakura Wars,2000,Adventure,Sega,0.0,0.0,0.11,0.0,0.11
10527,The King of Fighters: Dream Match 1999,1999,Fighting,SNK,0.0,0.0,0.1,0.0,0.1
10540,Blue Stinger,1999,Adventure,Activision,0.0,0.0,0.1,0.0,0.1
10655,Marvel vs. Capcom: Clash of Super Heroes,1999,Fighting,Capcom,0.0,0.0,0.1,0.0,0.1
10680,"Sakura Wars 2: Kimi, Shinitamou koto Nakare",2000,Adventure,Sega,0.0,0.0,0.1,0.0,0.1
10997,Skies of Arcadia,2000,Role-Playing,Sega,0.0,0.0,0.09,0.0,0.09
11234,Sega Bass Fishing,1999,Sports,Sega,0.0,0.0,0.09,0.0,0.09
11293,Derby Tsuku: Derby Uma o Tsukurou!,2000,Sports,Sega,0.0,0.0,0.08,0.0,0.08
11365,Godzilla Generations,1998,Action,Sega,0.0,0.0,0.08,0.0,0.08
11517,Sentimental Graffiti 2,2000,Adventure,NEC Interchannel,0.0,0.0,0.08,0.0,0.08
11902,The King of Fighters: Evolution,2000,Fighting,SNK,0.0,0.0,0.07,0.0,0.07
12063,Crazy Taxi 2,2001,Racing,Sega,0.0,0.0,0.07,0.0,0.07
12271,July,1998,Adventure,Fortyfive,0.0,0.0,0.06,0.0,0.06
12274,Kanon,2000,Adventure,NEC Interchannel,0.0,0.0,0.06,0.0,0.06
12468,PenPen TriIceLon,1998,Racing,Infogrames,0.0,0.0,0.06,0.0,0.06
12816,Jikkyou Powerful Pro Yakyuu DreamCast Edition,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
13069,The Typing of the Dead,2000,Shooter,Sega,0.0,0.0,0.05,0.0,0.05
13215,NBA 2K,1999,Sports,Sega,0.0,0.0,0.05,0.0,0.05
13244,Capcom vs. SNK: Millennium Fight 2000 Pro,2001,Fighting,Capcom,0.0,0.0,0.05,0.0,0.05
13875,Gundam Battle Online,2001,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
13960,Pia Carrot e Youkoso!! 2.5,2008,Adventure,NEC Interchannel,0.0,0.0,0.04,0.0,0.04
14004,Fighting Vipers 2,2000,Fighting,Sega,0.0,0.0,0.04,0.0,0.04
15902,Triggerheart Exelica,2007,Shooter,Warashi,0.0,0.0,0.02,0.0,0.02
