,sepal.width,petal.length
0,3.5,1.4
1,3.0,1.4
2,3.2,1.3
3,3.1,1.5
4,3.6,1.4
5,3.9,1.7
6,3.4,1.4
7,3.4,1.5
8,2.9,1.4
9,3.1,1.5
10,3.7,1.5
11,3.4,1.6
12,3.0,1.4
13,3.0,1.1
14,4.0,1.2
15,4.4,1.5
16,3.9,1.3
17,3.5,1.4
18,3.8,1.7
19,3.8,1.5
20,3.4,1.7
21,3.7,1.5
22,3.6,1.0
23,3.3,1.7
24,3.4,1.9
25,3.0,1.6
26,3.4,1.6
27,3.5,1.5
28,3.4,1.4
29,3.2,1.6
30,3.1,1.6
31,3.4,1.5
32,4.1,1.5
33,4.2,1.4
34,3.1,1.5
35,3.2,1.2
36,3.5,1.3
37,3.6,1.4
38,3.0,1.3
39,3.4,1.5
40,3.5,1.3
41,2.3,1.3
42,3.2,1.3
43,3.5,1.6
44,3.8,1.9
45,3.0,1.4
46,3.8,1.6
47,3.2,1.4
48,3.7,1.5
49,3.3,1.4
50,3.2,4.7
51,3.2,4.5
52,3.1,4.9
53,2.3,4.0
54,2.8,4.6
55,2.8,4.5
56,3.3,4.7
57,2.4,3.3
58,2.9,4.6
59,2.7,3.9
60,2.0,3.5
61,3.0,4.2
62,2.2,4.0
63,2.9,4.7
64,2.9,3.6
65,3.1,4.4
66,3.0,4.5
67,2.7,4.1
68,2.2,4.5
69,2.5,3.9
70,3.2,4.8
71,2.8,4.0
72,2.5,4.9
73,2.8,4.7
74,2.9,4.3
75,3.0,4.4
76,2.8,4.8
77,3.0,5.0
78,2.9,4.5
79,2.6,3.5
80,2.4,3.8
81,2.4,3.7
82,2.7,3.9
83,2.7,5.1
84,3.0,4.5
85,3.4,4.5
86,3.1,4.7
87,2.3,4.4
88,3.0,4.1
89,2.5,4.0
90,2.6,4.4
91,3.0,4.6
92,2.6,4.0
93,2.3,3.3
94,2.7,4.2
95,3.0,4.2
96,2.9,4.2
97,2.9,4.3
98,2.5,3.0
99,2.8,4.1
